日付,始値,高値,安値,終値,出来高,終値調整値
2019/4/22,173.4,174.2,172.7,174.2,50160900,174.2
2019/4/23,174.5,174.9,174,174.1,50320700,174.1
2019/4/24,174,174.2,172.2,172.8,76755700,172.8
2019/4/25,173,174,172,173,64067300,173
2019/4/26,172.1,173.9,171.9,173.5,77014200,173.5
2019/5/7,174.4,174.6,171.4,172.5,97486500,172.5
2019/5/8,171,171.1,169.4,170.4,110417500,170.4
2019/5/9,169.2,169.4,166.8,167.5,113180700,167.5
2019/5/10,167.5,168.3,166.1,167.3,108084100,167.3
2019/5/13,165.5,165.8,164.3,165.6,76394900,165.6
2019/5/14,162.5,165.2,162.3,165.2,89967400,165.2
2019/5/15,164.9,164.9,163.6,164.4,77636400,164.4
2019/5/16,163.5,163.6,161.2,161.9,115711400,161.9
2019/5/17,162.7,162.7,160.9,161,108869000,161
2019/5/20,160.5,161.2,156.6,158.8,150271500,158.8
2019/5/21,158,158.1,156.3,158,95143300,158
2019/5/22,159.2,159.4,157.5,157.6,88509200,157.6
2019/5/23,157.2,157.8,155.8,156.8,87092500,156.8
2019/5/24,155.8,157.4,155.6,157,82786000,157
2019/5/27,156.8,157.7,156.5,156.9,46043100,156.9
2019/5/28,156.8,157.8,156.3,157.3,158559300,157.3
2019/5/29,156,156.1,155.2,155.3,96079100,155.3
2019/5/30,155,155.9,154.5,155.9,76603200,155.9
2019/5/31,155,155.3,153.5,153.7,125444200,153.7
2019/6/3,151.1,151.9,150.4,151.6,104490300,151.6
2019/6/4,151,151.1,150.1,150.7,88703700,150.7
2019/6/5,153,154.2,152.2,153.1,108295900,153.1
2019/6/6,152.9,153.5,152.4,152.7,76750000,152.7
2019/6/7,152.8,153,152,152.6,58823800,152.6
2019/6/10,152.8,153.1,151.8,152.8,66860000,152.8
2019/6/11,153.4,154.5,153.2,154.4,69834100,154.4
2019/6/12,153.3,153.4,152.5,152.7,79626200,152.7
2019/6/13,152,152.3,150.9,152.3,114954300,152.3
2019/6/14,152,152.4,151.1,152.1,68699100,152.1
2019/6/17,152,152.1,151.3,151.4,62959900,151.4
2019/6/18,152,152.3,151,151.8,72882400,151.8
2019/6/19,153,153.5,152.7,153,71984300,153
2019/6/20,153.1,154.7,153.1,154.1,78735600,154.1
2019/6/21,154,154.5,153,154.4,116479400,154.4
2019/6/24,154,155.1,153.5,154.6,50488900,154.6
2019/6/25,154.1,155,153.4,153.8,71429800,153.8
2019/6/26,153.6,154.9,153.3,154.3,63461900,154.3
2019/6/27,154.5,156.4,154.4,156.3,74197400,156.3
2019/6/28,156,156.5,155.1,156.1,66256000,156.1
2019/7/1,158.1,158.5,157.2,157.7,83558200,157.7
2019/7/2,157.8,158.3,157.4,157.6,68933400,157.6
2019/7/3,157,157.2,155.5,157.1,69356600,157.1
2019/7/4,157,157.7,156.4,157.5,42818900,157.5
2019/7/5,158,158.8,157.8,157.8,62289100,157.8
2019/7/8,158.8,159.7,158.3,158.7,85834200,158.7
2019/7/9,159.6,160.2,158.8,159.3,80937500,159.3
2019/7/10,159.5,159.6,158.1,158.5,73964500,158.5
2019/7/11,158,158.9,157.5,158.8,59274000,158.8
2019/7/12,159.3,159.5,158.4,159.1,57450000,159.1
